"Step","s3 - mean evaluate return","s3 - mean evaluate return__MIN","s3 - mean evaluate return__MAX","s2 - mean evaluate return","s2 - mean evaluate return__MIN","s2 - mean evaluate return__MAX","s1 - mean evaluate return","s1 - mean evaluate return__MIN","s1 - mean evaluate return__MAX","s0 - mean evaluate return","s0 - mean evaluate return__MIN","s0 - mean evaluate return__MAX"
"500","0.89","0.89","0.89","0.2","0.2","0.2","0.96","0.96","0.96","0.37","0.37","0.37"
"1000","0.31","0.31","0.31","0.97","0.97","0.97","0.62","0.62","0.62","0.65","0.65","0.65"
"1500","0.54","0.54","0.54","0.58","0.58","0.58","0.92","0.92","0.92","0.44","0.44","0.44"
"2000","0.85","0.85","0.85","0.22","0.22","0.22","0.96","0.96","0.96","0.86","0.86","0.86"
"2500","0","0","0","0.93","0.93","0.93","0.97","0.97","0.97","0.94","0.94","0.94"
"3000","0.98","0.98","0.98","0.94","0.94","0.94","0.97","0.97","0.97","0.35","0.35","0.35"
"3500","0.76","0.76","0.76","0.34","0.34","0.34","0.78","0.78","0.78","0.92","0.92","0.92"
"4000","0","0","0","0.94","0.94","0.94","0.99","0.99","0.99","0.65","0.65","0.65"
"4500","0.63","0.63","0.63","0.97","0.97","0.97","0.6","0.6","0.6","0.87","0.87","0.87"
"5000","0.56","0.56","0.56","0.32","0.32","0.32","0.67","0.67","0.67","0.79","0.79","0.79"
"5500","0.08","0.08","0.08","0.59","0.59","0.59","0.76","0.76","0.76","0.47","0.47","0.47"
"6000","0.49","0.49","0.49","0.91","0.91","0.91","0.96","0.96","0.96","0.93","0.93","0.93"
"6500","0.6","0.6","0.6","0.24","0.24","0.24","0.99","0.99","0.99","0.93","0.93","0.93"
"7000","0.02","0.02","0.02","1","1","1","0.89","0.89","0.89","0.75","0.75","0.75"
"7500","0.31","0.31","0.31","0.34","0.34","0.34","0.84","0.84","0.84","0.9","0.9","0.9"
"8000","0.81","0.81","0.81","0.24","0.24","0.24","0.26","0.26","0.26","0.6","0.6","0.6"
"8500","0.94","0.94","0.94","0.99","0.99","0.99","0.96","0.96","0.96","0.02","0.02","0.02"
"9000","0.9","0.9","0.9","0.95","0.95","0.95","0.96","0.96","0.96","0.95","0.95","0.95"
"9500","0.82","0.82","0.82","0.95","0.95","0.95","0.93","0.93","0.93","0.65","0.65","0.65"
"10000","0.77","0.77","0.77","0.46","0.46","0.46","0.97","0.97","0.97","0.97","0.97","0.97"
