"Step","s3 - mean evaluate return","s3 - mean evaluate return__MIN","s3 - mean evaluate return__MAX","s2 - mean evaluate return","s2 - mean evaluate return__MIN","s2 - mean evaluate return__MAX","s1 - mean evaluate return","s1 - mean evaluate return__MIN","s1 - mean evaluate return__MAX","s0 - mean evaluate return","s0 - mean evaluate return__MIN","s0 - mean evaluate return__MAX"
"500","0","0","0","0.21","0.21","0.21","0","0","0","0.34","0.34","0.34"
"1000","0.23","0.23","0.23","0.14","0.14","0.14","0.06","0.06","0.06","0.2","0.2","0.2"
"1500","0.35","0.35","0.35","0.13","0.13","0.13","0.01","0.01","0.01","0.27","0.27","0.27"
"2000","0.27","0.27","0.27","0.22","0.22","0.22","0.14","0.14","0.14","0.38","0.38","0.38"
"2500","0.02","0.02","0.02","0.22","0.22","0.22","0.32","0.32","0.32","0.32","0.32","0.32"
"3000","0.67","0.67","0.67","0.58","0.58","0.58","0.31","0.31","0.31","0.35","0.35","0.35"
"3500","0.21","0.21","0.21","0.51","0.51","0.51","0.1","0.1","0.1","0.29","0.29","0.29"
"4000","0.57","0.57","0.57","0.39","0.39","0.39","0.22","0.22","0.22","0.65","0.65","0.65"
"4500","0.44","0.44","0.44","0.44","0.44","0.44","0.2","0.2","0.2","0.47","0.47","0.47"
"5000","0.52","0.52","0.52","0.45","0.45","0.45","0.28","0.28","0.28","0.58","0.58","0.58"
"5500","0.36","0.36","0.36","0.45","0.45","0.45","0.64","0.64","0.64","0.48","0.48","0.48"
"6000","0.51","0.51","0.51","0.58","0.58","0.58","0.52","0.52","0.52","0.47","0.47","0.47"
"6500","0.13","0.13","0.13","0.52","0.52","0.52","0.31","0.31","0.31","0.31","0.31","0.31"
"7000","0.61","0.61","0.61","0.48","0.48","0.48","0.48","0.48","0.48","0.5","0.5","0.5"
"7500","0.49","0.49","0.49","0.61","0.61","0.61","0.27","0.27","0.27","0.44","0.44","0.44"
