"Step","s3 - mean evaluate return","s3 - mean evaluate return__MIN","s3 - mean evaluate return__MAX","s2 - mean evaluate return","s2 - mean evaluate return__MIN","s2 - mean evaluate return__MAX","s1 - mean evaluate return","s1 - mean evaluate return__MIN","s1 - mean evaluate return__MAX","s0 - mean evaluate return","s0 - mean evaluate return__MIN","s0 - mean evaluate return__MAX"
"500","0.19","0.19","0.19","0.74","0.74","0.74","0.92","0.92","0.92","0.65","0.65","0.65"
"1000","0.6","0.6","0.6","0.83","0.83","0.83","0.79","0.79","0.79","0.59","0.59","0.59"
"1500","0.74","0.74","0.74","0.76","0.76","0.76","0.82","0.82","0.82","0.75","0.75","0.75"
"2000","0.79","0.79","0.79","0.76","0.76","0.76","0.79","0.79","0.79","0.81","0.81","0.81"
"2500","0.65","0.65","0.65","0.59","0.59","0.59","0.86","0.86","0.86","0.59","0.59","0.59"
"3000","0.81","0.81","0.81","0.74","0.74","0.74","0.81","0.81","0.81","0.54","0.54","0.54"
"3500","0.93","0.93","0.93","0.73","0.73","0.73","0.85","0.85","0.85","0.85","0.85","0.85"
"4000","0.86","0.86","0.86","0.79","0.79","0.79","0.56","0.56","0.56","0.75","0.75","0.75"
"4500","0.87","0.87","0.87","0.82","0.82","0.82","0.96","0.96","0.96","0.59","0.59","0.59"
"5000","0.81","0.81","0.81","0.8","0.8","0.8","0.94","0.94","0.94","0.75","0.75","0.75"
"5500","0.68","0.68","0.68","0.75","0.75","0.75","0.94","0.94","0.94","0.75","0.75","0.75"
"6000","0.82","0.82","0.82","0.72","0.72","0.72","0.88","0.88","0.88","0.75","0.75","0.75"
"6500","0.71","0.71","0.71","0.71","0.71","0.71","0.87","0.87","0.87","0.6","0.6","0.6"
"7000","0.82","0.82","0.82","0.85","0.85","0.85","0.75","0.75","0.75","0.77","0.77","0.77"
"7500","0.81","0.81","0.81","0.81","0.81","0.81","0.89","0.89","0.89","0.73","0.73","0.73"
"8000","0.81","0.81","0.81","0.71","0.71","0.71","0.75","0.75","0.75","0.67","0.67","0.67"
"8500","0.79","0.79","0.79","0.79","0.79","0.79","0.82","0.82","0.82","0.84","0.84","0.84"
"9000","0.74","0.74","0.74","0.72","0.72","0.72","0.69","0.69","0.69","0.6","0.6","0.6"
"9500","0.77","0.77","0.77","0.79","0.79","0.79","0.74","0.74","0.74","0.75","0.75","0.75"
"10000","0.7","0.7","0.7","0.82","0.82","0.82","0.82","0.82","0.82","0.86","0.86","0.86"
"10500","0.65","0.65","0.65","0.9","0.9","0.9","0.86","0.86","0.86","0.81","0.81","0.81"
"11000","0.83","0.83","0.83","0.87","0.87","0.87","0.84","0.84","0.84","0.73","0.73","0.73"
"11500","0.83","0.83","0.83","0.76","0.76","0.76","0.79","0.79","0.79","0.81","0.81","0.81"
"12000","0.74","0.74","0.74","0.85","0.85","0.85","0.85","0.85","0.85","0.73","0.73","0.73"
"12500","0.72","0.72","0.72","0.81","0.81","0.81","0.74","0.74","0.74","0.79","0.79","0.79"
"13000","0.69","0.69","0.69","0.88","0.88","0.88","0.82","0.82","0.82","0.79","0.79","0.79"
"13500","0.76","0.76","0.76","0.68","0.68","0.68","0.86","0.86","0.86","0.72","0.72","0.72"
"14000","0.8","0.8","0.8","0.89","0.89","0.89","0.8","0.8","0.8","0.72","0.72","0.72"
"14500","0.85","0.85","0.85","0.88","0.88","0.88","0.81","0.81","0.81","0.75","0.75","0.75"
"15000","0.72","0.72","0.72","0.76","0.76","0.76","0.85","0.85","0.85","0.78","0.78","0.78"
"15500","0.77","0.77","0.77","0.77","0.77","0.77","0.76","0.76","0.76","0.73","0.73","0.73"
"16000","0.76","0.76","0.76","0.8","0.8","0.8","0.81","0.81","0.81","0.82","0.82","0.82"
"16500","0.81","0.81","0.81","0.81","0.81","0.81","0.78","0.78","0.78","0.82","0.82","0.82"
"17000","0.85","0.85","0.85","0.87","0.87","0.87","0.79","0.79","0.79","0.8","0.8","0.8"
"17500","0.84","0.84","0.84","0.88","0.88","0.88","0.89","0.89","0.89","0.76","0.76","0.76"
"18000","0.81","0.81","0.81","0.83","0.83","0.83","0.76","0.76","0.76","0.83","0.83","0.83"
"18500","0.81","0.81","0.81","0.77","0.77","0.77","0.8","0.8","0.8","0.67","0.67","0.67"
"19000","0.73","0.73","0.73","0.86","0.86","0.86","0.84","0.84","0.84","0.78","0.78","0.78"
"19500","0.82","0.82","0.82","0.82","0.82","0.82","0.87","0.87","0.87","0.77","0.77","0.77"
"20000","0.85","0.85","0.85","0.89","0.89","0.89","0.87","0.87","0.87","0.75","0.75","0.75"
"20500","0.81","0.81","0.81","0.89","0.89","0.89","0.7","0.7","0.7","0.57","0.57","0.57"
"21000","0.74","0.74","0.74","0.82","0.82","0.82","0.82","0.82","0.82","0.74","0.74","0.74"
"21500","0.68","0.68","0.68","0.75","0.75","0.75","0.73","0.73","0.73","0.81","0.81","0.81"
"22000","0.87","0.87","0.87","0.85","0.85","0.85","0.83","0.83","0.83","0.82","0.82","0.82"
"22500","0.88","0.88","0.88","0.79","0.79","0.79","0.77","0.77","0.77","0.78","0.78","0.78"
"23000","0.9","0.9","0.9","0.83","0.83","0.83","0.73","0.73","0.73","0.84","0.84","0.84"
"23500","0.76","0.76","0.76","0.77","0.77","0.77","0.77","0.77","0.77","0.84","0.84","0.84"
"24000","0.78","0.78","0.78","0.9","0.9","0.9","0.84","0.84","0.84","0.71","0.71","0.71"
"24500","0.67","0.67","0.67","0.73","0.73","0.73","0.76","0.76","0.76","0.77","0.77","0.77"
"25000","0.8","0.8","0.8","0.88","0.88","0.88","0.75","0.75","0.75","0.83","0.83","0.83"
