"Step","s3 - mean evaluate return","s3 - mean evaluate return__MIN","s3 - mean evaluate return__MAX","s2 - mean evaluate return","s2 - mean evaluate return__MIN","s2 - mean evaluate return__MAX","s1 - mean evaluate return","s1 - mean evaluate return__MIN","s1 - mean evaluate return__MAX","s0 - mean evaluate return","s0 - mean evaluate return__MIN","s0 - mean evaluate return__MAX"
"500","0.55","0.55","0.55","0.49","0.49","0.49","0.26","0.26","0.26","0.36","0.36","0.36"
"1000","0.78","0.78","0.78","0.79","0.79","0.79","0.36","0.36","0.36","0.37","0.37","0.37"
"1500","0.83","0.83","0.83","0.58","0.58","0.58","0.4","0.4","0.4","0.22","0.22","0.22"
"2000","0.62","0.62","0.62","0.69","0.69","0.69","0.66","0.66","0.66","0.55","0.55","0.55"
"2500","0.88","0.88","0.88","0.66","0.66","0.66","0.65","0.65","0.65","0.23","0.23","0.23"
"3000","0.63","0.63","0.63","0.82","0.82","0.82","0.69","0.69","0.69","0.8","0.8","0.8"
"3500","0.88","0.88","0.88","0.78","0.78","0.78","0.73","0.73","0.73","0.67","0.67","0.67"
"4000","0.7","0.7","0.7","0.85","0.85","0.85","0.66","0.66","0.66","0.71","0.71","0.71"
"4500","0.87","0.87","0.87","0.72","0.72","0.72","0.74","0.74","0.74","0.69","0.69","0.69"
"5000","0.81","0.81","0.81","0.72","0.72","0.72","0.67","0.67","0.67","0.48","0.48","0.48"
"5500","0.84","0.84","0.84","0.79","0.79","0.79","0.57","0.57","0.57","0.64","0.64","0.64"
"6000","0.85","0.85","0.85","0.83","0.83","0.83","0.79","0.79","0.79","0.35","0.35","0.35"
"6500","0.79","0.79","0.79","0.65","0.65","0.65","0.8","0.8","0.8","0.57","0.57","0.57"
"7000","0.78","0.78","0.78","0.92","0.92","0.92","0.89","0.89","0.89","0.48","0.48","0.48"
"7500","0.89","0.89","0.89","0.89","0.89","0.89","0.74","0.74","0.74","0.76","0.76","0.76"
"8000","0.81","0.81","0.81","0.75","0.75","0.75","0.66","0.66","0.66","0.66","0.66","0.66"
"8500","0.84","0.84","0.84","0.77","0.77","0.77","0.78","0.78","0.78","0.64","0.64","0.64"
"9000","0.75","0.75","0.75","0.84","0.84","0.84","0.75","0.75","0.75","0.8","0.8","0.8"
"9500","0.86","0.86","0.86","0.85","0.85","0.85","0.73","0.73","0.73","0.78","0.78","0.78"
"10000","0.85","0.85","0.85","0.86","0.86","0.86","0.78","0.78","0.78","0.63","0.63","0.63"
"10500","0.73","0.73","0.73","0.87","0.87","0.87","0.85","0.85","0.85","0.66","0.66","0.66"
"11000","0.85","0.85","0.85","0.81","0.81","0.81","0.64","0.64","0.64","0.7","0.7","0.7"
"11500","0.78","0.78","0.78","0.87","0.87","0.87","0.58","0.58","0.58","0.63","0.63","0.63"
"12000","0.74","0.74","0.74","0.81","0.81","0.81","0.78","0.78","0.78","0.76","0.76","0.76"
"12500","0.73","0.73","0.73","0.81","0.81","0.81","0.67","0.67","0.67","0.6","0.6","0.6"
"13000","0.72","0.72","0.72","0.78","0.78","0.78","0.79","0.79","0.79","0.53","0.53","0.53"
"13500","0.87","0.87","0.87","0.81","0.81","0.81","0.69","0.69","0.69","0.75","0.75","0.75"
"14000","0.77","0.77","0.77","0.82","0.82","0.82","0.63","0.63","0.63","0.57","0.57","0.57"
"14500","0.81","0.81","0.81","0.78","0.78","0.78","0.68","0.68","0.68","0.57","0.57","0.57"
"15000","0.84","0.84","0.84","0.88","0.88","0.88","0.71","0.71","0.71","0.76","0.76","0.76"
"15500","0.8","0.8","0.8","0.76","0.76","0.76","0.74","0.74","0.74","0.7","0.7","0.7"
"16000","0.78","0.78","0.78","0.83","0.83","0.83","0.69","0.69","0.69","0.65","0.65","0.65"
"16500","0.81","0.81","0.81","0.81","0.81","0.81","0.8","0.8","0.8","0.67","0.67","0.67"
"17000","0.67","0.67","0.67","0.83","0.83","0.83","0.79","0.79","0.79","0.65","0.65","0.65"
"17500","0.75","0.75","0.75","0.89","0.89","0.89","0.79","0.79","0.79","0.62","0.62","0.62"
"18000","0.76","0.76","0.76","0.74","0.74","0.74","0.75","0.75","0.75","0.69","0.69","0.69"
"18500","0.74","0.74","0.74","0.8","0.8","0.8","0.78","0.78","0.78","0.77","0.77","0.77"
"19000","0.67","0.67","0.67","0.84","0.84","0.84","0.71","0.71","0.71","0.66","0.66","0.66"
"19500","0.72","0.72","0.72","0.73","0.73","0.73","0.7","0.7","0.7","0.49","0.49","0.49"
"20000","0.81","0.81","0.81","0.91","0.91","0.91","0.69","0.69","0.69","0.64","0.64","0.64"
"20500","0.82","0.82","0.82","0.82","0.82","0.82","0.74","0.74","0.74","0.72","0.72","0.72"
"21000","0.78","0.78","0.78","0.84","0.84","0.84","0.67","0.67","0.67","0.45","0.45","0.45"
"21500","0.74","0.74","0.74","0.86","0.86","0.86","0.7","0.7","0.7","0.65","0.65","0.65"
"22000","0.73","0.73","0.73","0.88","0.88","0.88","0.73","0.73","0.73","0.53","0.53","0.53"
"22500","0.82","0.82","0.82","0.9","0.9","0.9","0.82","0.82","0.82","0.69","0.69","0.69"
"23000","0.84","0.84","0.84","0.79","0.79","0.79","0.62","0.62","0.62","0.66","0.66","0.66"
"23500","0.7","0.7","0.7","0.8","0.8","0.8","0.7","0.7","0.7","0.61","0.61","0.61"
"24000","0.82","0.82","0.82","0.81","0.81","0.81","0.76","0.76","0.76","0.53","0.53","0.53"
"24500","0.82","0.82","0.82","0.85","0.85","0.85","0.68","0.68","0.68","0.59","0.59","0.59"
"25000","0.74","0.74","0.74","0.77","0.77","0.77","0.84","0.84","0.84","0.69","0.69","0.69"
